# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Jul 23 16:50:47 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system:  2MASS + Spitzer (IRAC+MIPS) + WISE
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag  MIPS_70mag  MIPS_160mag  W1mag   W2mag   W3mag   W4mag
0.0015467 -1.00000 9.30103 0.0900000036 1.0816895926    0.090 -3.242  3.4431  5.359    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.02e-17      0.00 7.467e-01 2.516e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.875 10.736 10.384 10.241 9.627 9.525 9.469 9.374 8.760 8.735 8.681 9.767 9.530 9.308 8.950
0.0015467 -1.00000 9.30103 0.0920549855 1.1010882174    0.092 -3.192  3.4502  5.347    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.65e-17      0.00 7.467e-01 2.517e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.750 10.632 10.257 10.112 9.527 9.427 9.374 9.287 8.680 8.656 8.610 9.664 9.432 9.226 8.870
0.0015467 -1.00000 9.30103 0.1000000015 1.1711064122    0.100 -3.005  3.4767  5.301    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.8e-17      0.00 7.465e-01 2.518e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.281 10.251 9.800 9.637 9.154 9.054 9.013 8.950 8.372 8.351 8.347 9.278 9.059 8.911 8.561
0.0015467 -1.00000 9.30103 0.1145686433 1.2824285413    0.115 -2.795  3.5016  5.250    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-16      0.00 7.463e-01 2.520e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.757 9.809 9.308 9.128 8.728 8.627 8.592 8.547 7.993 7.981 8.022 8.837 8.631 8.527 8.182
0.0015467 -1.00000 9.30103 0.1200000048 1.3193154741    0.120 -2.724  3.5100  5.233    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-16      0.00 7.462e-01 2.521e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.579 9.658 9.145 8.960 8.585 8.483 8.448 8.408 7.861 7.855 7.911 8.688 8.487 8.395 8.051
0.0015467 -1.00000 9.30103 0.1400000006 1.4384526719    0.140 -2.540  3.5278  5.187    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.47e-16      0.00 7.460e-01 2.524e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.120 9.255 8.722 8.531 8.203 8.102 8.067 8.033 7.500 7.509 7.594 8.294 8.105 8.033 7.690
0.0015467 -1.00000 9.30103 0.1599999964 1.5372931554    0.160 -2.403  3.5390  5.153    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.3e-16      0.00 7.457e-01 2.526e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 10.776 8.944 8.403 8.208 7.909 7.811 7.776 7.747 7.223 7.243 7.339 7.993 7.813 7.754 7.412
0.0015467 -1.00000 9.30103 0.1899069697 1.6584698798    0.190 -2.243  3.5503  5.113    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-16      0.00 7.455e-01 2.529e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 10.378 8.580 8.031 7.834 7.561 7.468 7.433 7.407 6.893 6.925 7.031 7.639 7.470 7.421 7.083
0.0015467 -1.00000 9.30103 0.2000000179 1.6938791367    0.200 -2.195  3.5538  5.101    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.05e-16      0.00 7.454e-01 2.530e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 10.257 8.470 7.919 7.721 7.456 7.365 7.330 7.304 6.793 6.829 6.937 7.531 7.366 7.320 6.982
0.0015467 -1.00000 9.30103 0.2500000000 1.8403257998    0.250 -2.002  3.5656  5.052    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.46e-16      0.00 7.450e-01 2.533e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 9.774 8.023 7.465 7.265 7.024 6.941 6.903 6.876 6.376 6.428 6.541 7.090 6.941 6.900 6.565
0.0015467 -1.00000 9.30103 0.3000000417 1.9529140366    0.300 -1.847  3.5746  5.012    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-15      0.00 7.448e-01 2.536e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.386 7.662 7.100 6.899 6.674 6.599 6.559 6.532 6.041 6.104 6.220 6.733 6.600 6.560 6.230
0.0015467 -1.00000 9.30103 0.3499999940 2.0434174644    0.350 -1.694  3.5816  4.954    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 9.005 7.301 6.734 6.533 6.321 6.254 6.213 6.184 5.702 5.774 5.891 6.375 6.254 6.217 5.891
0.0015467 -1.00000 9.30103 0.3855476379 2.0981091773    0.385 -1.589  3.5894  4.922    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.742 7.061 6.490 6.292 6.091 6.033 5.989 5.957 5.483 5.566 5.683 6.137 6.033 5.994 5.673
0.0015467 -1.00000 9.30103 0.4000000060 2.1185024399    0.400 -1.549  3.5923  4.910    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.642 6.969 6.397 6.201 6.005 5.950 5.906 5.873 5.403 5.489 5.606 6.048 5.950 5.911 5.592
0.0015467 -1.00000 9.30103 0.4499999881 2.1822809009    0.450 -1.381  3.6075  4.854    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.91e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.223 6.590 6.009 5.828 5.660 5.622 5.579 5.544 5.094 5.194 5.321 5.692 5.622 5.590 5.283
0.0015467 -1.00000 9.30103 0.5000000000 2.2374541529    0.500 -1.197  3.6300  4.806    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.47e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.762 6.186 5.592 5.445 5.321 5.306 5.267 5.231 4.798 4.917 5.045 5.341 5.306 5.284 4.987
0.0015467 -1.00000 9.30103 0.5089590549 2.2465030380    0.509 -1.161  3.6355  4.800    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.84e-15      0.00 7.481e-01 2.503e-01 2.918e-04 7.872e-05 7.140e-04 -1.000 1.619e-03 7.673 6.111 5.519 5.379 5.265 5.254 5.218 5.182 4.752 4.875 4.999 5.282 5.254 5.236 4.941
0.0015467 -1.00000 9.30103 0.5500000715 2.2836583126    0.550 -1.006  3.6594  4.773    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.85e-15      0.00 7.531e-01 2.453e-01 2.864e-04 7.727e-05 7.009e-04 -1.000 1.571e-03 7.285 5.789 5.224 5.111 5.032 5.039 5.013 4.986 4.571 4.701 4.843 5.043 5.041 5.046 4.760
0.0015467 -1.00000 9.30103 0.5979371071 2.3197175951    0.598 -0.836  3.6854  4.745    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-14      0.00 7.544e-01 2.441e-01 2.851e-04 7.694e-05 6.979e-04 -1.000 1.578e-03 6.861 5.452 4.947 4.854 4.791 4.802 4.784 4.762 4.348 4.485 4.624 4.797 4.803 4.823 4.537
0.0015467 -1.00000 9.30103 0.6000000238 2.3211213258    0.600 -0.829  3.6865  4.744    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 7.544e-01 2.440e-01 2.851e-04 7.693e-05 6.978e-04 -1.000 1.578e-03 6.844 5.438 4.937 4.844 4.781 4.792 4.775 4.753 4.339 4.477 4.618 4.788 4.794 4.813 4.528
0.0015467 -1.00000 9.30103 0.6268859506 2.3384489070    0.627 -0.738  3.7008  4.728    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-14      0.00 7.553e-01 2.431e-01 2.842e-04 7.668e-05 6.956e-04 -1.000 1.546e-03 6.615 5.262 4.802 4.716 4.657 4.666 4.651 4.631 4.217 4.361 4.511 4.662 4.668 4.691 4.406
0.0015467 -1.00000 9.30103 0.6499999762 2.3520353107    0.650 -0.662  3.7127  4.716    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-14      0.00 7.561e-01 2.424e-01 2.834e-04 7.647e-05 6.937e-04 -1.000 1.560e-03 6.426 5.118 4.690 4.610 4.553 4.561 4.547 4.530 4.116 4.259 4.409 4.558 4.562 4.590 4.305
0.0015467 -1.00000 9.30103 0.6957731247 2.3759029894    0.696 -0.517  3.7359  4.693    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.06e-14      0.00 7.579e-01 2.406e-01 2.816e-04 7.600e-05 6.895e-04 -1.000 1.547e-03 6.064 4.850 4.477 4.408 4.357 4.361 4.351 4.339 3.924 4.062 4.208 4.362 4.362 4.399 4.113
0.0015467 -1.00000 9.30103 0.6999999881 2.3779266974    0.700 -0.505  3.7379  4.691    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-14      0.00 7.581e-01 2.404e-01 2.814e-04 7.595e-05 6.891e-04 -1.000 1.551e-03 6.031 4.826 4.458 4.390 4.340 4.343 4.333 4.321 3.906 4.044 4.190 4.344 4.344 4.381 4.095
0.0015467 -1.00000 9.30103 0.7277871370 2.3905602316    0.728 -0.421  3.7511  4.678    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -2.56e-14      0.00 7.595e-01 2.390e-01 2.780e-04 7.554e-05 6.860e-04 -1.000 1.546e-03 5.823 4.675 4.333 4.273 4.229 4.231 4.223 4.213 3.856 3.970 4.080 4.233 4.231 4.264 4.017
0.0015467 -1.00000 9.30103 0.7500000000 2.3998889087    0.750 -0.356  3.7613  4.666    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.96e-14      0.00 7.607e-01 2.378e-01 2.753e-04 7.520e-05 6.833e-04 -1.000 1.534e-03 5.661 4.560 4.236 4.182 4.145 4.145 4.139 4.131 3.829 3.920 3.996 4.149 4.145 4.172 3.963
0.0015467 -1.00000 9.30103 0.8000000119 2.4187244405    0.800 -0.217  3.7790  4.626    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.14e-14      0.00 7.654e-01 2.330e-01 2.708e-04 7.401e-05 6.726e-04 -1.000 1.550e-03 5.312 4.298 4.004 3.961 3.934 3.932 3.928 3.922 3.715 3.767 3.784 3.937 3.932 3.947 3.804
