# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Jul 23 16:54:21 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: VISTA <i>ZYJHK</i><sub>s</sub> (Vegamag)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Zmag    Ymag    Jmag    Hmag    Ksmag
0.0015467 -1.00000 9.30103 0.0900000036 1.0816895926    0.090 -3.242  3.4431  5.359    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.02e-17      0.00 7.467e-01 2.516e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.875 11.926 11.432 10.699 10.390 10.261
0.0015467 -1.00000 9.30103 0.0920549855 1.1010882174    0.092 -3.192  3.4502  5.347    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.65e-17      0.00 7.467e-01 2.517e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.750 11.792 11.311 10.597 10.263 10.132
0.0015467 -1.00000 9.30103 0.1000000015 1.1711064122    0.100 -3.005  3.4767  5.301    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.8e-17      0.00 7.465e-01 2.518e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.281 11.308 10.873 10.220 9.805 9.656
0.0015467 -1.00000 9.30103 0.1145686433 1.2824285413    0.115 -2.795  3.5016  5.250    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-16      0.00 7.463e-01 2.520e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.757 10.784 10.386 9.782 9.311 9.147
0.0015467 -1.00000 9.30103 0.1200000048 1.3193154741    0.120 -2.724  3.5100  5.233    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-16      0.00 7.462e-01 2.521e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.579 10.608 10.220 9.632 9.147 8.978
0.0015467 -1.00000 9.30103 0.1400000006 1.4384526719    0.140 -2.540  3.5278  5.187    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.47e-16      0.00 7.460e-01 2.524e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.120 10.155 9.790 9.231 8.724 8.547
0.0015467 -1.00000 9.30103 0.1599999964 1.5372931554    0.160 -2.403  3.5390  5.153    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.3e-16      0.00 7.457e-01 2.526e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 10.776 9.815 9.463 8.922 8.404 8.224
0.0015467 -1.00000 9.30103 0.1899069697 1.6584698798    0.190 -2.243  3.5503  5.113    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-16      0.00 7.455e-01 2.529e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 10.378 9.421 9.082 8.559 8.032 7.849
0.0015467 -1.00000 9.30103 0.2000000179 1.6938791367    0.200 -2.195  3.5538  5.101    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.05e-16      0.00 7.454e-01 2.530e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 10.257 9.302 8.967 8.449 7.920 7.736
0.0015467 -1.00000 9.30103 0.2500000000 1.8403257998    0.250 -2.002  3.5656  5.052    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.46e-16      0.00 7.450e-01 2.533e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 9.774 8.826 8.504 8.004 7.465 7.278
